lat,lon,ele,time,segment_distance_km,distance_km_cum,segment_time_s,elev_delta_m,elev_gain_pos_m,elev_gain_pos_cum_m,slope_percent
7.050707330927253,-73.09981564991176,914.04,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.050613202154636,-73.09998370707035,913.5,,0.021287,0.021287,0.0,-0.54,0.0,0.0,-2.54
7.05051907338202,-73.10015201568604,912.78,,0.021311,0.042597,0.0,-0.72,0.0,0.0,-3.38
7.050433242693543,-73.10028076171875,912.05,,0.017101,0.059698,0.0,-0.73,0.0,0.0,-4.27
7.050290247425437,-73.10051654465497,911.23,,0.030474,0.090172,0.0,-0.82,0.0,0.0,-2.69
7.050147335976362,-73.10075232759118,910.5,,0.03047,0.120642,0.0,-0.73,0.0,0.0,-2.4
7.050004089251161,-73.10098886489868,909.91,,0.03056,0.151202,0.0,-0.59,0.0,0.0,-1.93
7.049992186948657,-73.10101250186563,909.45,,0.002924,0.154126,0.0,-0.46,0.0,0.0,-15.73
7.049983637407422,-73.10100822709501,909.06,,0.001057,0.155183,0.0,-0.39,0.0,0.0,-36.9
7.049983637407422,-73.10100805945694,908.72,,1.9e-05,0.155202,0.0,-0.34,0.0,0.0,-1835.73
7.049983637407422,-73.10100814327598,908.41,,9e-06,0.155211,0.0,-0.31,0.0,0.0,-3347.51
7.050004089251161,-73.10096740722656,908.11,,0.005037,0.160248,0.0,-0.3,0.0,0.0,-5.96
7.04972505569458,-73.10141801834106,907.72,,0.058573,0.218821,0.0,-0.39,0.0,0.0,-0.67
7.049295902252197,-73.10197591781616,907.23,,0.077794,0.296615,0.0,-0.49,0.0,0.0,-0.63
7.0488667488098145,-73.10296297073364,906.58,,0.118933,0.415548,0.0,-0.65,0.0,0.0,-0.55
7.048794748261571,-73.10304687358439,906.08,,0.01222,0.427768,0.0,-0.5,0.0,0.0,-4.09
7.0487945806235075,-73.10304704122245,905.66,,2.6e-05,0.427794,0.0,-0.42,0.0,0.0,-1602.7
7.0487945806235075,-73.10304712504148,905.29,,9e-06,0.427804,0.0,-0.37,0.0,0.0,-3995.41
7.048794412985444,-73.10304737649858,904.97,,3.3e-05,0.427837,0.0,-0.32,0.0,0.0,-958.09
7.048794245347381,-73.10304754413664,904.67,,2.6e-05,0.427863,0.0,-0.3,0.0,0.0,-1144.79
7.04848051071167,-73.10341358184814,904.14,,0.053285,0.481149,0.0,-0.53,0.0,0.0,-0.99
7.048480594530702,-73.10341358184814,903.84,,9e-06,0.481158,0.0,-0.3,0.0,0.0,-3236.38
7.0481157302856445,-73.10395002365112,903.38,,0.0717,0.552858,0.0,-0.46,0.0,0.0,-0.64
7.047665119171143,-73.10429334640503,902.85,,0.062627,0.615485,0.0,-0.53,0.0,0.0,-0.85
7.047214591875672,-73.10472249984741,902.54,,0.068779,0.684265,0.0,-0.31,0.0,0.0,-0.45
7.046914100646973,-73.10489416122437,902.5,,0.038263,0.722527,0.0,-0.04,0.0,0.0,-0.1
7.046206081286073,-73.10513019561768,902.54,,0.082529,0.805056,0.0,0.04,0.04,0.04,0.05
7.0458197593688965,-73.1053876876831,902.6,,0.051329,0.856385,0.0,0.06,0.06,0.1,0.12
7.045605182647705,-73.10558080673218,902.45,,0.031912,0.888297,0.0,-0.15,0.0,0.1,-0.47
7.044854164123535,-73.10727596282959,902.32,,0.204879,1.093176,0.0,-0.13,0.0,0.1,-0.06
7.044811332598329,-73.10770511627197,901.55,,0.047651,1.140827,0.0,-0.77,0.0,0.1,-1.62
7.044854164123535,-73.10839176177979,900.9,,0.076012,1.216838,0.0,-0.65,0.0,0.1,-0.86
7.044811332598329,-73.1090784072876,900.15,,0.076012,1.29285,0.0,-0.75,0.0,0.1,-0.99
7.044768333435059,-73.10944318771362,899.56,,0.040582,1.333432,0.0,-0.59,0.0,0.1,-1.45
7.044639587402344,-73.1099796295166,899.25,,0.060955,1.394387,0.0,-0.31,0.0,0.1,-0.51
7.044210433959961,-73.11090230941772,898.45,,0.112449,1.506836,0.0,-0.8,0.0,0.1,-0.71
7.043867195025086,-73.1118893623352,897.35,,0.115472,1.622307,0.0,-1.1,0.0,0.1,-0.95
7.043652618303895,-73.11246871948242,896.38,,0.068267,1.690575,0.0,-0.97,0.0,0.1,-1.42
7.043480956926942,-73.11285495758057,895.51,,0.046706,1.737281,0.0,-0.87,0.0,0.1,-1.86
7.043309211730957,-73.11319828033447,894.26,,0.042422,1.779702,0.0,-1.25,0.0,0.1,-2.95
7.042579650878906,-73.11422824859619,892.71,,0.139497,1.919199,0.0,-1.55,0.0,0.1,-1.11
7.042579734697938,-73.11422824859619,891.65,,9e-06,1.919208,0.0,-1.06,0.0,0.1,-11435.19
7.042214870452881,-73.11476469039917,890.17,,0.071701,1.990909,0.0,-1.48,0.0,0.1,-2.06
7.041699970141053,-73.11532258987427,888.98,,0.083917,2.074825,0.0,-1.19,0.0,0.1,-1.42
7.041506767272949,-73.11555862426758,888.08,,0.033714,2.108539,0.0,-0.9,0.0,0.1,-2.67
7.041077613830566,-73.11581611633301,887.58,,0.055334,2.163873,0.0,-0.5,0.0,0.1,-0.9
7.040841579437256,-73.11605215072632,887.07,,0.036898,2.200771,0.0,-0.51,0.0,0.1,-1.38
7.040712833404541,-73.11624526977539,886.66,,0.025651,2.226422,0.0,-0.41,0.0,0.1,-1.6
7.040541172027588,-73.11667442321777,886.21,,0.051075,2.277497,0.0,-0.45,0.0,0.1,-0.88
7.040348052978516,-73.11691045761108,885.93,,0.033708,2.311204,0.0,-0.28,0.0,0.1,-0.83
7.0393025781959295,-73.11743315309286,885.86,,0.129241,2.440445,0.0,-0.07,0.0,0.1,-0.05
7.03929821960628,-73.11743524856865,885.73,,0.000535,2.44098,0.0,-0.13,0.0,0.1,-24.31
7.03929821960628,-73.11743533238769,885.65,,9e-06,2.440989,0.0,-0.08,0.0,0.1,-863.85
7.039298135787249,-73.11743533238769,885.61,,9e-06,2.440998,0.0,-0.04,0.0,0.1,-431.52
7.039298051968217,-73.11743533238769,885.59,,9e-06,2.441007,0.0,-0.02,0.0,0.1,-215.76
7.03929771669209,-73.11743566766381,885.58,,5.2e-05,2.44106,0.0,-0.01,0.0,0.1,-19.08
7.039297632873058,-73.11743575148284,885.58,,1.3e-05,2.441073,0.0,0.0,0.0,0.1,0.0
7.038931846618652,-73.11761856079102,885.42,,0.045215,2.486288,0.0,-0.16,0.0,0.1,-0.35
7.038567066192627,-73.11800479888916,885.22,,0.058724,2.545012,0.0,-0.2,0.0,0.1,-0.34
7.038374030962586,-73.11832666397095,885.42,,0.041477,2.586489,0.0,0.2,0.2,0.3,0.48
7.037901878356934,-73.11873435974121,885.84,,0.06896,2.655449,0.0,0.42,0.42,0.72,0.61
7.037773132324219,-73.1189489364624,885.72,,0.027655,2.683104,0.0,-0.12,0.0,0.72,-0.43
7.03753718174994,-73.11901330947876,885.49,,0.027046,2.71015,0.0,-0.23,0.0,0.72,-0.85
7.037258148193359,-73.11901330947876,885.2,,0.030859,2.741008,0.0,-0.29,0.0,0.72,-0.94
7.037000739946961,-73.1189489364624,885.05,,0.029342,2.77035,0.0,-0.15,0.0,0.72,-0.51
7.036571502685547,-73.11888456344604,884.9,,0.048,2.81835,0.0,-0.15,0.0,0.72,-0.31
7.036335468292236,-73.11892747879028,884.71,,0.02653,2.84488,0.0,-0.19,0.0,0.72,-0.72
7.036099433898926,-73.11909914016724,884.51,,0.032266,2.877147,0.0,-0.2,0.0,0.72,-0.62
7.035984098911285,-73.11926376074553,884.31,,0.022215,2.899362,0.0,-0.2,0.0,0.72,-0.9
7.035983931273222,-73.11926392838359,884.23,,2.6e-05,2.899388,0.0,-0.08,0.0,0.72,-305.27
7.035970687866211,-73.11931371688843,884.13,,0.005693,2.90508,0.0,-0.1,0.0,0.72,-1.76
7.035863399505615,-73.11942100524902,884.08,,0.016772,2.921852,0.0,-0.05,0.0,0.72,-0.3
7.035703053697944,-73.1195171456784,884.08,,0.020671,2.942523,0.0,0.0,0.0,0.72,0.0
7.035541534423828,-73.1196141242981,884.12,,0.02083,2.963353,0.0,0.04,0.04,0.76,0.19
7.035412788391113,-73.11974287033081,884.18,,0.020126,2.983479,0.0,0.06,0.06,0.82,0.3
7.035348415374756,-73.11989307403564,884.16,,0.018058,3.001537,0.0,-0.02,0.0,0.82,-0.11
7.035276833921671,-73.12020077370107,884.29,,0.034906,3.036444,0.0,0.13,0.13,0.95,0.37
7.035205252468586,-73.1205084733665,884.11,,0.034906,3.07135,0.0,-0.18,0.0,0.95,-0.52
7.0351338386535645,-73.12081575393677,883.65,,0.034857,3.106207,0.0,-0.46,0.0,0.95,-1.32
7.0349836349487305,-73.1210732460022,883.25,,0.032944,3.139151,0.0,-0.4,0.0,0.95,-1.21
7.034790515899658,-73.12126636505127,882.85,,0.030189,3.16934,0.0,-0.4,0.0,0.95,-1.32
7.034598151221871,-73.1213874835521,882.43,,0.025133,3.194473,0.0,-0.42,0.0,0.95,-1.67
7.0344057865440845,-73.12150860205293,881.94,,0.025133,3.219606,0.0,-0.49,0.0,0.95,-1.95
7.034211242571473,-73.1216311454773,881.39,,0.025421,3.245026,0.0,-0.55,0.0,0.95,-2.16
7.034018877893686,-73.12174865975976,880.77,,0.024923,3.269949,0.0,-0.62,0.0,0.95,-2.49
7.033825004473329,-73.1218671798706,879.92,,0.025123,3.295072,0.0,-0.85,0.0,0.95,-3.38
7.033674716949463,-73.12203884124756,878.85,,0.025218,3.320291,0.0,-1.07,0.0,0.95,-4.24
7.0336854457855225,-73.12227504327893,877.72,,0.026124,3.346415,0.0,-1.13,0.0,0.95,-4.33
7.033696174621582,-73.12251091003418,876.57,,0.026087,3.372502,0.0,-1.15,0.0,0.95,-4.41
7.033535409718752,-73.1227358803153,875.66,,0.03056,3.403063,0.0,-0.91,0.0,0.95,-2.98
7.033374309539795,-73.12296152114868,874.84,,0.030642,3.433705,0.0,-0.82,0.0,0.95,-2.68
7.033374309539795,-73.12322990968823,873.9,,0.029654,3.463358,0.0,-0.94,0.0,0.95,-3.17
7.033374309539795,-73.12349796295166,873.25,,0.029616,3.492975,0.0,-0.65,0.0,0.95,-2.19
7.033331394195557,-73.12369108200073,872.79,,0.021859,3.514834,0.0,-0.46,0.0,0.95,-2.1
7.033202648162842,-73.12384128570557,872.63,,0.021866,3.5367,0.0,-0.16,0.0,0.95,-0.73
7.033030986785889,-73.12394857406616,872.58,,0.022381,3.559081,0.0,-0.05,0.0,0.95,-0.22
7.032945156097412,-73.12424898147583,872.85,,0.034522,3.593603,0.0,0.27,0.27,1.22,0.78
7.032837448641658,-73.12442391179502,873.08,,0.022703,3.616306,0.0,0.23,0.23,1.45,1.01
7.032945156097412,-73.12424898147583,872.85,,0.022703,3.63901,0.0,-0.23,0.0,1.45,-1.01
7.033030986785889,-73.12394857406616,872.58,,0.034522,3.673531,0.0,-0.27,0.0,1.45,-0.78
7.033202648162842,-73.12384128570557,872.63,,0.022381,3.695913,0.0,0.05,0.05,1.5,0.22
7.033331394195557,-73.12369108200073,872.79,,0.021866,3.717779,0.0,0.16,0.16,1.66,0.73
7.033374309539795,-73.12349796295166,873.25,,0.021859,3.739638,0.0,0.46,0.46,2.12,2.1
7.033374309539795,-73.12322949059308,874.06,,0.029663,3.769301,0.0,0.81,0.81,2.93,2.73
7.033374309539795,-73.12296152114868,874.84,,0.029607,3.798908,0.0,0.78,0.78,3.71,2.63
7.033534990623593,-73.12273646704853,875.84,,0.030563,3.82947,0.0,1.0,1.0,4.71,3.27
7.033696174621582,-73.12251091003418,876.57,,0.03064,3.86011,0.0,0.73,0.73,5.44,2.38
7.033685361966491,-73.12227462418377,877.92,,0.026134,3.886244,0.0,1.35,1.35,6.79,5.17
7.033674716949463,-73.12203884124756,878.85,,0.026078,3.912322,0.0,0.93,0.93,7.72,3.57
7.033825004473329,-73.1218671798706,879.92,,0.025218,3.93754,0.0,1.07,1.07,8.79,4.24
7.034017285332084,-73.12174958176911,880.93,,0.02492,3.96246,0.0,1.01,1.01,9.8,4.05
7.034211242571473,-73.1216311454773,881.39,,0.025126,3.987586,0.0,0.46,0.46,10.26,1.83
7.034403523430228,-73.12150994315743,882.04,,0.02513,4.012716,0.0,0.65,0.65,10.91,2.59
7.034595888108015,-73.1213888246566,882.49,,0.025133,4.037849,0.0,0.45,0.45,11.36,1.79
7.034790515899658,-73.12126636505127,882.85,,0.025423,4.063272,0.0,0.36,0.36,11.72,1.42
7.0349836349487305,-73.1210732460022,883.25,,0.030189,4.093462,0.0,0.4,0.4,12.12,1.32
7.0351338386535645,-73.12081575393677,883.65,,0.032944,4.126406,0.0,0.4,0.4,12.52,1.21
7.035205336287618,-73.12050797045231,883.89,,0.034913,4.161319,0.0,0.24,0.24,12.76,0.69
7.035276917740703,-73.12020027078688,883.97,,0.034906,4.196225,0.0,0.08,0.08,12.84,0.23
7.035348415374756,-73.11989307403564,884.16,,0.03485,4.231075,0.0,0.19,0.19,13.03,0.55
7.035412788391113,-73.11974287033081,884.18,,0.018058,4.249133,0.0,0.02,0.02,13.05,0.11
7.035541534423828,-73.1196141242981,884.12,,0.020126,4.26926,0.0,-0.06,0.0,13.05,-0.3
7.035701796412468,-73.11951790004969,883.29,,0.020668,4.289927,0.0,-0.83,0.0,13.05,-4.02
7.035863399505615,-73.11942100524902,884.08,,0.020833,4.31076,0.0,0.79,0.79,13.84,3.79
7.035970687866211,-73.11931371688843,884.13,,0.016772,4.327532,0.0,0.05,0.05,13.89,0.3
7.0359613839536905,-73.1192959472537,883.04,,0.002217,4.329749,0.0,-1.09,0.0,13.89,-49.17
7.035963060334325,-73.11929360032082,883.01,,0.000319,4.330068,0.0,-0.03,0.0,13.89,-9.41
7.035963647067547,-73.11929292976856,883.02,,9.8e-05,4.330166,0.0,0.01,0.01,13.9,10.15
7.03596381470561,-73.1192927621305,883.07,,2.6e-05,4.330192,0.0,0.05,0.05,13.95,190.8
7.035983512178063,-73.1192647665739,883.17,,0.003783,4.333976,0.0,0.1,0.1,14.05,2.64
7.035983595997095,-73.11926468275487,883.3,,1.3e-05,4.333989,0.0,0.13,0.13,14.18,992.13
7.036099433898926,-73.11909914016724,884.51,,0.02233,4.356319,0.0,1.21,1.21,15.39,5.42
7.036335468292236,-73.11892747879028,884.71,,0.032266,4.388585,0.0,0.2,0.2,15.59,0.62
7.036571502685547,-73.11888456344604,884.9,,0.02653,4.415116,0.0,0.19,0.19,15.78,0.72
7.037000739946961,-73.1189489364624,885.05,,0.048,4.463115,0.0,0.15,0.15,15.93,0.31
7.037258148193359,-73.11901330947876,885.2,,0.029342,4.492457,0.0,0.15,0.15,16.08,0.51
7.03753718174994,-73.11901330947876,885.49,,0.030859,4.523316,0.0,0.29,0.29,16.37,0.94
7.037773132324219,-73.1189489364624,885.72,,0.027046,4.550362,0.0,0.23,0.23,16.6,0.85
7.037901878356934,-73.11873435974121,885.84,,0.027655,4.578016,0.0,0.12,0.12,16.72,0.43
7.038374030962586,-73.11832666397095,885.42,,0.06896,4.646977,0.0,-0.42,0.0,16.72,-0.61
7.038567066192627,-73.11800479888916,885.22,,0.041477,4.688454,0.0,-0.2,0.0,16.72,-0.48
7.038931846618652,-73.11761856079102,885.42,,0.058724,4.747178,0.0,0.2,0.2,16.92,0.34
7.039259998127818,-73.11745435930789,885.39,,0.040573,4.787751,0.0,-0.03,0.0,16.92,-0.07
7.039261758327484,-73.11745352111757,885.43,,0.000216,4.787966,0.0,0.04,0.04,16.96,18.56
7.03926544636488,-73.1174517609179,885.47,,0.000452,4.788418,0.0,0.04,0.04,17.0,8.85
7.0392657816410065,-73.1174515094608,885.52,,4.6e-05,4.788464,0.0,0.05,0.05,17.05,107.92
7.039266619831324,-73.11745109036565,885.59,,0.000104,4.788568,0.0,0.07,0.07,17.12,67.56
7.039297632873058,-73.11743575148284,885.58,,0.003826,4.792394,0.0,-0.01,0.0,17.12,-0.26
7.03929771669209,-73.11743566766381,885.58,,1.3e-05,4.792407,0.0,0.0,0.0,17.12,0.0
7.040348052978516,-73.11691045761108,885.93,,0.129846,4.922252,0.0,0.35,0.35,17.47,0.27
7.040541172027588,-73.11667442321777,886.21,,0.033708,4.95596,0.0,0.28,0.28,17.75,0.83
7.040712833404541,-73.11624526977539,886.66,,0.051075,5.007035,0.0,0.45,0.45,18.2,0.88
7.040841579437256,-73.11605215072632,887.07,,0.025651,5.032686,0.0,0.41,0.41,18.61,1.6
7.041077613830566,-73.11581611633301,887.58,,0.036898,5.069584,0.0,0.51,0.51,19.12,1.38
7.041506767272949,-73.11555862426758,888.08,,0.055334,5.124918,0.0,0.5,0.5,19.62,0.9
7.041699970141053,-73.11532258987427,888.98,,0.033714,5.158632,0.0,0.9,0.9,20.52,2.67
7.042214870452881,-73.11476469039917,890.17,,0.083917,5.242548,0.0,1.19,1.19,21.71,1.42
7.042579734697938,-73.11422824859619,891.65,,0.071701,5.314249,0.0,1.48,1.48,23.19,2.06
7.042579650878906,-73.11422824859619,892.71,,9e-06,5.314258,0.0,1.06,1.06,24.25,11435.19
7.043309211730957,-73.11319828033447,894.26,,0.139497,5.453755,0.0,1.55,1.55,25.8,1.11
7.043480956926942,-73.11285495758057,895.51,,0.042422,5.496176,0.0,1.25,1.25,27.05,2.95
7.043652618303895,-73.11246871948242,896.38,,0.046706,5.542882,0.0,0.87,0.87,27.92,1.86
7.043867195025086,-73.1118893623352,897.35,,0.068267,5.611149,0.0,0.97,0.97,28.89,1.42
7.044210433959961,-73.11090230941772,898.45,,0.115472,5.726621,0.0,1.1,1.1,29.99,0.95
7.044639587402344,-73.1099796295166,899.25,,0.112449,5.83907,0.0,0.8,0.8,30.79,0.71
7.044768333435059,-73.10944318771362,899.56,,0.060955,5.900024,0.0,0.31,0.31,31.1,0.51
7.044811332598329,-73.1090784072876,900.15,,0.040582,5.940607,0.0,0.59,0.59,31.69,1.45
7.044854164123535,-73.10839176177979,900.9,,0.076012,6.016618,0.0,0.75,0.75,32.44,0.99
7.044811332598329,-73.10770511627197,901.55,,0.076012,6.09263,0.0,0.65,0.65,33.09,0.86
7.044854164123535,-73.10727596282959,902.32,,0.047651,6.140281,0.0,0.77,0.77,33.86,1.62
7.045605182647705,-73.10558080673218,902.45,,0.204879,6.345159,0.0,0.13,0.13,33.99,0.06
7.0458197593688965,-73.1053876876831,902.6,,0.031912,6.377071,0.0,0.15,0.15,34.14,0.47
7.046206081286073,-73.10513019561768,902.54,,0.051329,6.4284,0.0,-0.06,0.0,34.14,-0.12
7.046914100646973,-73.10489416122437,902.5,,0.082529,6.510929,0.0,-0.04,0.0,34.14,-0.05
7.047214591875672,-73.10472249984741,902.54,,0.038263,6.549192,0.0,0.04,0.04,34.18,0.1
7.047665119171143,-73.10429334640503,902.85,,0.068779,6.617971,0.0,0.31,0.31,34.49,0.45
7.0481157302856445,-73.10395002365112,903.38,,0.062627,6.680599,0.0,0.53,0.53,35.02,0.85
7.048480594530702,-73.10341358184814,903.84,,0.0717,6.752299,0.0,0.46,0.46,35.48,0.64
7.04848051071167,-73.10341358184814,904.14,,9e-06,6.752308,0.0,0.3,0.3,35.78,3236.38
7.048767758533359,-73.10307813808322,904.3,,0.048813,6.801121,0.0,0.16,0.16,35.94,0.33
7.048768512904644,-73.1030772998929,904.48,,0.000125,6.801245,0.0,0.18,0.18,36.12,144.41
7.0487704407423735,-73.10307512059808,904.69,,0.000322,6.801567,0.0,0.21,0.21,36.33,65.3
7.048771278932691,-73.10307428240776,904.92,,0.000131,6.801698,0.0,0.23,0.23,36.56,175.53
7.0487716142088175,-73.10307377949357,905.2,,6.7e-05,6.801765,0.0,0.28,0.28,36.84,419.17
7.048794245347381,-73.10304754413664,904.67,,0.00383,6.805594,0.0,-0.53,0.0,36.84,-13.84
7.048794412985444,-73.10304737649858,904.97,,2.6e-05,6.805621,0.0,0.3,0.3,37.14,1144.79
7.0488667488098145,-73.10296297073364,906.58,,0.012287,6.817907,0.0,1.61,1.61,38.75,13.1
7.049295902252197,-73.10197591781616,907.23,,0.118933,6.93684,0.0,0.65,0.65,39.4,0.55
7.04972505569458,-73.10141801834106,907.72,,0.077794,7.014634,0.0,0.49,0.49,39.89,0.63
7.050004089251161,-73.10096740722656,908.11,,0.058573,7.073207,0.0,0.39,0.39,40.28,0.67
7.050000987946987,-73.10097310692072,908.74,,0.000717,7.073924,0.0,0.63,0.63,40.91,87.86
7.050004089251161,-73.10098886489868,909.91,,0.001774,7.075698,0.0,1.17,1.17,42.08,65.94
7.050147000700235,-73.10075299814343,909.94,,0.030478,7.106176,0.0,0.03,0.03,42.11,0.1
7.05028991214931,-73.10051721520722,910.75,,0.03047,7.136646,0.0,0.81,0.81,42.92,2.66
7.050433242693543,-73.10028076171875,912.05,,0.030557,7.167203,0.0,1.3,1.3,44.22,4.25
7.05051907338202,-73.10015201568604,912.78,,0.017101,7.184303,0.0,0.73,0.73,44.95,4.27
7.050611861050129,-73.09998613782227,913.25,,0.021004,7.205307,0.0,0.47,0.47,45.42,2.24
7.050704900175333,-73.09982009232044,913.85,,0.021034,7.226341,0.0,0.6,0.6,46.02,2.85
